"created_at","user_id","screen_name","status_id","full_text"
"Wed Oct 05 11:31:02 +0000 2022","1551486635367288832","cover2figuRes","1577622388883484672","For those that prefer the #NFL, here are the 1-6 QBs through four weeks based on PFF Pass Grade.

Tua has been fairly accurate deep-left and deep-middle when targeting those zones.

See next tweet for 7-12. 👇

#nflverse

4/ https://t.co/YjnJRcK8wU"
"Wed Oct 05 11:31:05 +0000 2022","1551486635367288832","cover2figuRes","1577622400820449280","Mitch Trubisky battling on those 20+ yard throws...

#nflverse

5/ https://t.co/ZkW4kXbg4c"
"Wed Oct 05 15:22:54 +0000 2022","3067061292","josephjefe","1577680740078084096","Here’s our rookie snap counts for 2022. Offense and Defense only. Special teams remains a conspiracy theory, and I refuse to cave, even after the Colts beat KC largely due to them. 

#nflverse #rstats #gtExtras https://t.co/tIZnwMacqx"
