"created_at","user_id","screen_name","status_id","full_text"
"Tue Jan 11 02:03:28 +0000 2022","1396847074386317313","nyjetsbyR","1480721995285291016","#Jets managed to put together a promising rushing attack in 2021 headlined by rookie Michael Carter.

Here is the distribution of rush classifications among all Jets’ RBs this year:

Loss = &lt;0 yds 
Stuff = 0-2 yds
Short = 3-5 yds 
Intermediate = 6-20 yds
Long = 20+ yds
#nflverse https://t.co/gxhry6ZasQ"
"Tue Jan 11 02:53:46 +0000 2022","1396847074386317313","nyjetsbyR","1480734652193447938","This graph shows total rushing volume and the breakdown of distance classifications within each #Jets RB.

Carter leads in volume (147 at), but Ty Johnson boasts the greatest % of runs for positive yardage (91.8%), over Carter (89.8%) and Coleman (89.3%).
#nflverse #TakeFlight https://t.co/3P5FzJXOqC"
"Tue Jan 11 03:04:03 +0000 2022","1055998106519658496","OliverJCochrane","1480737240968048642","God knows how long it took to figure out how to build a stacked bar graph… #Jets #nflverse @nflfastR https://t.co/KsrM1SWWKr"
