"created_at","user_id","screen_name","status_id","full_text"
"Wed Nov 30 04:58:15 +0000 2022","1584640626892627973","sergiofidanli","1597817260210806784","Day 36 /1: Today I joined the ADP data from yesterday against the data I have from #nflverse and get the fantasy points scored for each player. I wanted to see how often players drafted in the first round of a 10 or 12 team league actually finish in the top 10 or 12 in fantasy..."
"Wed Nov 30 16:59:29 +0000 2022","1205557554442575878","mrcaseb","1597998766443073536","What should we expect from the playoffs? I have simulated the remainder of the regular NFL season 100k times and these are the two most frequent wildcard rounds.
The percentages indicate the total number of times this matchup occurred in all simulated seasons.
#nflverse https://t.co/X7SVn7J5kU"
"Wed Nov 30 18:00:01 +0000 2022","1551486635367288832","cover2figuRes","1598013999022362624","As per request, here is an updated look at the 𝗰𝘂𝗺𝘂𝗹𝗮𝘁𝗶𝘃𝗲 𝗘𝗣𝗔 and trend for 𝗡𝗙𝗟 𝗤𝗕𝘀 through 12 weeks.

Just look at Mahomes! 📈📈

#nflverse https://t.co/q8NDTdzs5c"
"Wed Nov 30 22:35:26 +0000 2022","1139018976053420032","DPRees8","1598083307052601344","#nflverse
I remember seeing a shiny app that allowed you to filter NFLreadR data based on all sorts of fields.
Does anyone happen to know what app this was?"
